iter	Passed	Remaining
392	21884	11972
393	21917	11904
394	21924	11822
395	21950	11751
396	21981	11682
397	21989	11602
398	22008	11528
399	22017	11448
400	22027	11370
401	22033	11290
402	22061	11222
403	22075	11147
404	22091	11072
405	22098	10994
406	22127	10927
407	22190	10877
408	22220	10811
409	22293	10766
410	22300	10688
411	22320	10618
412	22327	10542
413	22362	10479
414	22372	10404
415	22380	10329
416	22397	10258
417	22402	10182
418	22432	10118
419	22464	10055
420	22469	9980
421	22474	9905
422	22500	9840
423	22504	9766
424	22509	9692
425	22514	9618
426	22521	9546
427	22527	9474
428	22536	9403
429	22543	9331
430	22553	9262
431	22558	9190
432	22564	9119
433	22574	9050
434	22579	8979
435	22585	8909
436	22590	8839
437	22623	8780
438	22647	8718
439	22657	8651
440	22664	8582
441	22676	8516
442	22684	8449
443	22694	8382
444	22704	8316
445	22710	8248
446	22729	8186
447	22734	8119
448	22742	8053
449	22760	7991
450	22766	7925
451	22770	7858
452	22776	7793
453	22781	7727
454	22787	7662
455	22794	7598
456	22798	7532
457	22806	7469
458	22811	7405
459	22815	7340
460	22820	7276
461	22826	7213
462	22830	7150
463	22835	7086
464	22841	7024
465	22847	6962
466	22853	6900
467	22857	6837
468	22861	6775
469	22865	6713
470	22869	6652
471	22874	6590
472	22879	6530
473	22883	6469
474	22888	6408
475	22893	6348
476	22897	6288
477	22901	6228
478	22905	6168
479	22908	6108
480	22912	6049
481	22916	5990
482	22919	5931
483	22923	5872
484	22927	5814
485	22930	5756
486	22933	5698
487	22937	5640
488	22940	5582
489	22944	5525
490	22947	5468
491	22950	5411
492	22954	5354
493	22957	5297
494	22961	5241
495	22964	5185
496	22968	5129
497	22971	5074
498	22974	5018
499	22978	4963
500	22981	4908
501	22985	4853
502	22989	4798
503	22992	4744
504	22996	4690
505	23000	4636
506	23012	4584
507	23015	4530
508	23023	4478
509	23027	4424
510	23031	4371
511	23035	4319
512	23039	4266
513	23042	4214
514	23046	4161
515	23050	4109
516	23054	4057
517	23058	4006
518	23062	3954
519	23066	3903
520	23070	3852
521	23074	3801
522	23078	3750
523	23082	3700
524	23086	3649
525	23089	3599
526	23093	3549
527	23097	3499
528	23101	3449
529	23105	3400
530	23109	3351
531	23113	3301
532	23116	3252
533	23120	3203
534	23124	3155
535	23127	3106
536	23130	3058
537	23134	3010
538	23137	2961
539	23141	2914
540	23144	2866
541	23148	2818
542	23151	2771
543	23155	2724
544	23158	2677
545	23162	2630
546	23166	2583
547	23169	2536
548	23173	2490
549	23177	2444
550	23180	2397
551	23184	2352
552	23187	2306
553	23191	2260
554	23195	2215
555	23198	2169
556	23202	2124
557	23206	2079
558	23209	2034
559	23213	1989
560	23217	1945
561	23221	1900
562	23224	1856
563	23228	1812
564	23232	1768
565	23235	1724
566	23238	1680
567	23242	1636
568	23245	1593
569	23249	1549
570	23252	1506
571	23255	1463
572	23259	1420
573	23262	1377
574	23266	1335
575	23269	1292
576	23273	1250
577	23276	1208
578	23280	1166
579	23284	1124
580	23288	1082
581	23291	1040
582	23294	998
583	23298	957
584	23301	916
585	23304	874
586	23308	833
587	23312	792
588	23315	752
589	23319	711
590	23323	670
591	23326	630
592	23330	590
593	23334	549
594	23338	509
595	23342	469
596	23345	430
597	23349	390
598	23353	350
599	23356	311
600	23360	272
601	23363	232
602	23367	193
603	23371	154
604	23374	115
605	23378	77
606	23381	38
607	23385	0
