iter	Logloss
148	0.26246202914149	0.260988938150	0.3172223022
151	0.31663218
152	0.3161304698
153	0.3157771118
154	0.3142059477
155	0.313835804
156	0.3135253677
157	0.3131503191
158	0.3116579267
159	0.3110859925
160	0.3101350732
161	0.3092710733
162	0.3083224924
163	163	0.2503524164	0.3062787004
165	0.3057888061
166	0.3050432409
167	0.3039720916
168	0.3036424096
169	0.3021444385
170	0.3011977199
171	0.2996738399
172	0.2990466142
173	0.2979818391
174	0.2974844199
175	0.2963412362
176	0.2956510292
177	0.2940587663
178	0.293012959
179	0.2923334736
180	0.2916022035
181	0.2909032251
182	0.2901100713
183	0.2895241253
184	0.2884771036
185	0.287775895
186	0.2868725011
187	0.2862392492
188	0.2852181252
18189	0.24135945219190	0.2401015222
191	0.2389241685
192	0.2380819172
193	0.237418931
194	0.2372373154
195	0.2368832959
196	0.2361222159
197	0.2357646101
198	0.2347845827
199	0.2344473072
200	0.2337954385
201	0.2333399635
202	0.2327526822
203	0.2322278287
204	0.2316454986
205	0.2309473674
206	0.2302660322
207	0.2298716554
208	0.2296597152
209	0.229313172
210	0.2290863295
211	0.2286697861
212	0.2281438812
213	0.2277852388
214	0.2274179769
215	0.2267576165
216	0.2261342232
217	0.2257276803
218	0.2253810363
219	0.2250956726
220	0.2246098052
221	0.2240418504
222	0.2232276928
223	0.2229847475
224	0.2225216522
225	0.2217322272
226	0.221444587
227	0.220683385
228	0.2201195288
229	0.2198912983
230	0.2193889701
231	0.2190426937
232	0.2187891889
233	0.2183056755
234	0.2178468988
235	0.2173018667
236	0.2170113785
237	0.216713396
238	0.2161104301
239	0.2156071295
240	0.2151647953
241	0.2149726783
242	0.2142875644
243	0.2138093121
244	0.2132586106
245	0.2127300889
246	0.2119408763
247	0.2112881651
248	0.2111189556
249	0.2103793194
250	0.2098453322
251	0.2089810765
252	0.2085726529
253	0.2079739107
254	0.2073067345
255	0.2070113296
256	0.2068109163
257	0.2063411244
258	0.2055257149
259	0.2054084027
260	0.2048742341
261	0.2043216575
262	0.2038584761
263	0.2035062394
264	0.2032187886
265	0.2027509539
266	0.202345207
267	0.2019139737
268	0.2015267886
269	0.2008679772
270	0.2004807521
271	0.2001461777
272	0.1995590399
273	0.1991912693
274	0.1990371812
275	0.1982455883
276	0.1977705926
277	0.1973510633
278	0.1969835707
279	0.1963229504
280	0.195908605
281	0.1955363149
282	0.1951113691
283	0.1947399387
284	0.1944734041
285	0.1936482748
286	0.1933138833
287	0.1929982094
288	0.1928080103
289	0.1916934703
290	0.1913617034
291	0.1909512668
292	0.1906309255
293	0.1904102194
294	0.1902062492
295	0.1900041639
296	0.1893795353
297	0.1890358343
298	0.188547003
299	0.1883227215
300	0.1874777411
301	0.1867273315
302	0.1854729768
303	0.1852143327
304	0.1850344633
305	0.1843632095
306	0.1840532316
307	0.1836412645
308	0.1834744078
309	0.1830031283
310	0.1826316306
311	0.1825610597
312	0.182346284
313	0.1820567634
314	0.1812007922
315	0.1809261661
316	0.18091369
317	0.1803894417
318	0.180176947
319	0.1798902139
320	0.1791490166
321	0.1789967757
322	0.1786782098
323	0.1782287023
324	0.1781002325
325	0.1779105667
326	0.1778994718
327	0.1774987293
328	0.177279215
329	0.1770437553
330	0.1768392068
331	0.1767038495
332	0.1760921499
333	0.175782601
334	0.1756019829
335	0.1755303702
336	0.1753862292
337	0.1752171798
338	0.1750251297
339	0.1748459509
340	0.1747209556
341	0.174421635
342	0.1743233981
343	0.1740091197
344	0.173504304
345	0.1732615916
346	0.1730252072
347	0.172900801
348	0.1728134029
349	0.1727157737
350	0.1723171707
351	0.172024001
352	0.1717265953
353	0.1713568292
354	0.1709658014
355	0.1708047069
356	0.1706037073
357	0.170317582
358	0.1694405278
359	0.168861903
360	0.1683387586
361	0.1678432578
362	0.1674869965
363	0.1669580522
364	0.166605042
365	0.1663963696
366	0.1662837935
367	0.1659200183
368	0.1655800367
369	0.1652085055
370	0.1649830027
371	0.164297022
372	0.1637793218
373	0.1634645842
374	0.1633210572
375	0.1630290439
376	0.1627099007
377	0.1625370695
378	0.162457705
379	0.1623599787
380	0.1622279302
381	0.1619102297
382	0.1616904355
383	0.1616264081
384	0.1612794003
385	0.1608111561
386	0.1606689969
387	0.1603180152
388	0.1602156673
389	0.1601387879
390	0.1597896149
391	0.1595742955
392	0.1594505932
393	0.1591203084
394	0.1588362824
395	0.1587188501
396	0.1585291912
397	0.1584035088
398	0.1583124854
399	0.1581026432
400	0.1579135323
401	0.1576091836
402	0.1572209933
403	0.1570878755
404	0.1568728944
405	0.1567897584
406	0.1564458212
407	0.1562100674
408	0.1559625001
409	0.1557439851
410	0.1554972797
411	0.1551815548
412	0.1550875653
413	0.1548535796
414	0.1547527722
415	0.1545979015
416	0.1545404105
417	0.1543097411
418	0.1539468348
419	0.1535184545
420	0.1534304998
421	0.1532046604
422	0.1531602573
423	0.1529142546
424	0.1527611749
425	0.1525107209
426	0.1522199249
427	0.1520532249
428	0.1518482176
429	0.1514348359
430	0.1512327887
431	0.1510663776
432	0.1504799715
433	0.1500993608
434	0.1498783819
435	0.149735525
436	0.1493260798
437	0.1492165797
438	0.1490981985
439	0.1489027021
440	0.1486823933
441	0.1484889824
442	0.1483870409
443	0.1481341428
444	0.1479383805
445	0.1477101513
446	0.1475288098
447	0.1473050994
448	0.1471529897
449	0.1470756774
450	0.1468604481
451	0.1467862248
452	0.1466226858
453	0.146286269
454	0.1459485224
455	0.1454775646
456	0.1454154875
457	0.1453087155
458	0.1451393292
459	0.1449189413
460	0.1444598645
461	0.144300365
462	0.1442613513
463	0.1439377308
464	0.1437826591
465	0.1434572612
466	0.1432888865
467	0.1431431653
468	0.1428372187
469	0.1427398937
470	0.1425785579
471	0.142319385
472	0.142060353
473	0.142004356
474	0.141757658
475	0.141615025
476	0.1412899048
477	0.1410876654
478	0.1409985293
479	0.1408880574
480	0.1406646408
481	0.1404810859
482	0.1404335739
483	0.1401390092
484	0.1401096636
485	0.1399802425
486	0.1396756844
487	0.1393811455
488	0.1391299927
489	0.1389645578
490	0.1386658163
491	0.1385484557
492	0.1381256005
493	0.1379551701
494	0.1378525004
495	0.1374691115
496	0.1373233939
497	0.1371607796
498	0.1369410581
499	0.1366917507
500	0.1365664419
501	0.1360850117
502	0.1359206376
503	0.1358342381
504	0.1356246133
505	0.1354311046
506	0.1353408167
507	0.1352203708
508	0.1350270337
509	0.1349778223
510	0.1346761107
511	0.1345328959
512	0.134330995
513	0.1342912995
514	0.1340197726
515	0.1338497292
516	0.1335968417
517	0.1334641114
518	0.1332646511
519	0.1330734954
520	0.132814408
521	0.1326456014
522	0.1325167641
523	0.1323200176
524	0.1322267485
525	0.1320950941
526	0.13197879
527	0.1318304596
528	0.1317913379
529	0.1313774228
530	0.1311303395
531	0.1309502534
532	0.1307384474
533	0.1303881916
534	0.1302831434
535	0.1301036984
536	0.130026371
537	0.1298300438
538	0.1297427904
539	0.1296247059
540	0.1295140853
541	0.1293897954
542	0.1293008752
543	0.129162902
544	0.129000539
545	0.128845244
546	0.1286955601
547	0.1284429723
548	0.1283239429
549	0.1279865038
550	0.1279241626
551	0.1275465954
552	0.1274759468
553	0.1273978785
554	0.1271552864
555	0.1269631273
556	0.1266819235
557	0.1265366629
558	0.1264803271
559	0.1261652201
560	0.1259693942
561	0.125896937
562	0.1258065823
563	0.1257027713
564	0.1256820862
565	0.1254008946
566	0.1252734005
567	0.1251599436
568	0.1248458862
569	0.1245729175
570	0.1244995021
571	0.1244212282
572	0.1243339818
573	0.1241815307
574	0.1239384984
575	0.1237979787
576	0.1236727974
577	0.123599487
578	0.1235308761
579	0.1233812804
580	0.1232360819
581	0.1230191058
582	0.1228313473
583	0.1227190482
584	0.1225473333
585	0.1224204385
586	0.1222948191
587	0.1222535401
588	0.1222123924
589	0.1220828913
590	0.1219766528
591	0.1218755929
592	0.1217591204
593	0.1215644192
594	0.1214575318
595	0.1214039063
596	0.12119414
597	0.1210857081
598	0.1210188047
599	0.1208805635
600	0.120752814
601	0.1206626158
602	0.1204108929
603	0.1202209778
604	0.1200618485
605	0.1199861948
606	0.1196618347
607	0.1195609084
73417

9406573512
607	0.0939343258
145167832
603	0.08130367553
604	0.08127944516
605	0.0810906893
606	0.08090037784
607	0.08087665407
16209
597	0.04034559334
598	0.04030108943
599	0.04026597471
600	0.04016944896
601	0.04007855405
602	0.03998925309
603	0.03989476844
604	0.03983792494
605	0.03977297436
606	0.03965977645
607	0.03956225542
0.02993754782
606	0.02992269269
607	0.02985132291
